rate_date,gold_24k,gold_22k,silver
2026-01-01,7204.02,6634.94,92.32
2026-01-02,7192.03,6659.52,92.47
2026-01-03,7211.29,6644.7,92.37
2026-01-04,7186.46,6628.52,92.4
2026-01-05,7186.36,6627.44,92.46
2026-01-06,7201.29,6642.2,92.43
2026-01-07,7208.91,6638.49,92.51
2026-01-08,7205.71,6652.25,92.27
2026-01-09,7213.17,6658.9,92.25
2026-01-10,7188.39,6661.73,92.44
2026-01-11,7208.85,6674.6,92.41
2026-01-12,7213.63,6661.42,92.42
2026-01-13,7209.49,6669.63,92.53
2026-01-14,7202.23,6667.27,92.23
2026-01-15,7192.16,6637.28,92.24
2026-01-16,7192.3,6627.99,92.32
2026-01-17,7203.91,6651.83,92.35
2026-01-18,7191.63,6635.68,92.56
2026-01-19,7204.26,6664.36,92.28
2026-01-20,7206.6,6644.22,92.36
2026-01-21,7214.1,6674.92,92.42
2026-01-22,7205.32,6677.02,92.5
2026-01-23,7192.2,6624.46,92.33
2026-01-24,7193.31,6634.42,92.56
2026-01-25,7210.84,6655.67,92.46
2026-01-26,7196.99,6672.97,92.38
2026-01-27,7193.23,6636.13,92.42
2026-01-28,7193.17,6652.97,92.55
2026-01-29,7197.1,6638.31,92.58
2026-01-30,7200.27,6634.79,92.23
2026-01-31,7188.76,6651.07,92.51
2026-02-01,7194.97,6675.2,91.48
2026-02-02,7211.94,6683.98,91.29
2026-02-03,7204.74,6668.43,91.48
2026-02-04,7191.67,6654.41,91.33
2026-02-05,7196.5,6649.48,91.64
2026-02-06,7209.2,6651.6,91.47
2026-02-07,7189.13,6665.67,91.61
2026-02-08,7192.58,6655.15,91.51
2026-02-09,7188.38,6657.47,91.48
2026-02-10,7206.4,6662.38,91.29
2026-02-11,7193.32,6624.85,91.63
2026-02-12,7209.28,6680.09,91.4
2026-02-13,7185.65,6660.75,91.63
2026-02-14,7186.45,6641.88,91.31
2026-02-15,7205.88,6673.68,91.33
2026-02-16,7197.67,6655.35,91.38
2026-02-17,7209.1,6659.5,91.36
2026-02-18,7199.51,6666.05,91.36
2026-02-19,7192.96,6673.3,91.52
2026-02-20,7196.6,6652.76,91.33
2026-02-21,7190.45,6638.15,91.5
2026-02-22,7190.61,6632.4,91.31
2026-02-23,7202.15,6643.42,91.62
2026-02-24,7208.74,6641.55,91.37
2026-02-25,7203.25,6643.69,91.34
