product_id,sku,product_name,category,metal,purity,gross_weight,net_weight
1,DI101,Diamond Ring 101,ring,gold,18K,5.4631,4.1528
2,GO102,Gold Ring 102,ring,gold,22K,5.3919,5.3919
3,DI103,Diamond Necklace 103,necklace,gold,18K,18.7828,15.4507
4,GO104,Gold Coin 104,coin,gold,24K,11.895,11.895
5,DI105,Diamond Ring 105,ring,gold,18K,5.3659,4.2729
6,GO106,Gold Coin Chain 106,chain,gold,24K,11.7587,11.7587
7,GO107,Gold Coin Chain 107,chain,gold,24K,13.6765,13.6765
8,DI108,Diamond Ring 108,ring,gold,18K,5.8826,4.5632
9,DI109,Diamond Ring 109,ring,gold,18K,4.4253,3.5458
10,GO110,Gold Ring 110,ring,gold,22K,7.7867,7.7867
11,GO111,Gold Necklace 111,necklace,gold,22K,23.3702,22.9405
12,GO112,Gold Bangle 112,bangle,gold,22K,28.8297,28.8297
13,GO113,Gold Chain 113,chain,gold,22K,24.6984,24.6984
14,GO114,Gold Necklace 114,necklace,gold,22K,38.1352,37.31
15,SI115,Silver Bangle 115,bangle,silver,925,47.6096,47.6096
16,GO116,Gold Necklace 116,necklace,gold,22K,29.6701,29.0815
17,DI117,Diamond Ring 117,ring,gold,18K,5.4617,4.1795
18,SI118,Silver Payal 118,payal,silver,925,66.0832,66.0832
19,GO119,Gold Chain 119,chain,gold,22K,12.8924,12.8924
20,GO120,Gold Coin Chain 120,chain,gold,24K,10.7348,10.7348
21,GO121,Gold Ring 121,ring,gold,22K,5.716,5.716
22,GO122,Gold Coin Chain 122,chain,gold,24K,13.9576,13.9576
23,GO123,Gold Necklace 123,necklace,gold,22K,26.836,26.3325
24,GO124,Gold Ring 124,ring,gold,22K,6.8653,6.8653
25,DI125,Diamond Necklace 125,necklace,gold,18K,14.6366,12.8433
26,GO126,Gold Necklace 126,necklace,gold,22K,43.6594,42.9332
27,GO127,Gold Earring 127,earring,gold,22K,5.734,5.6731
28,GO128,Gold Coin Chain 128,chain,gold,24K,12.4734,12.4734
29,DI129,Diamond Necklace 129,necklace,gold,18K,15.8518,13.1621
30,GO130,Gold Coin Chain 130,chain,gold,24K,7.7113,7.7113
31,DI131,Diamond Necklace 131,necklace,gold,18K,22.1163,19.1019
32,GO132,Gold Chain 132,chain,gold,22K,9.8569,9.8569
33,GO133,Gold Chain 133,chain,gold,22K,20.5951,20.5951
34,GO134,Gold Chain 134,chain,gold,22K,12.0678,12.0678
35,DI135,Diamond Necklace 135,necklace,gold,18K,12.9138,10.6628
36,DI136,Diamond Ring 136,ring,gold,18K,4.2899,3.5236
37,GO137,Gold Ring 137,ring,gold,22K,3.501,3.501
38,GO138,Gold Coin 138,coin,gold,24K,9.9544,9.9544
39,SI139,Silver Bangle 139,bangle,silver,925,38.8962,38.8962
40,SI140,Silver Bangle 140,bangle,silver,925,47.2477,47.2477
41,GO141,Gold Ring 141,ring,gold,22K,3.6873,3.6873
42,DI142,Diamond Ring 142,ring,gold,18K,6.8758,5.2378
43,SI143,Silver Coin 143,coin,silver,999,16.3176,16.3176
44,GO144,Gold Earring 144,earring,gold,22K,4.7851,4.73
45,GO145,Gold Chain 145,chain,gold,22K,16.0869,16.0869
46,DI146,Diamond Earring 146,earring,gold,18K,3.9516,3.1675
47,GO147,Gold Ring 147,ring,gold,22K,4.4362,4.4362
48,GO148,Gold Chain 148,chain,gold,22K,12.8521,12.8521
49,SI149,Silver Bangle 149,bangle,silver,925,22.3665,22.3665
50,GO150,Gold Coin Chain 150,chain,gold,24K,12.6872,12.6872
51,SI151,Silver Payal 151,payal,silver,925,62.6149,62.6149
52,GO152,Gold Coin 152,coin,gold,24K,8.4833,8.4833
53,SI153,Silver Coin 153,coin,silver,999,39.5475,39.5475
54,DI154,Diamond Necklace 154,necklace,gold,18K,27.306,23.9682
55,GO155,Gold Necklace 155,necklace,gold,22K,42.6441,41.8192
56,SI156,Silver Utensil 156,utensil,silver,925,175.6407,175.6407
57,GO157,Gold Coin 157,coin,gold,24K,19.0088,19.0088
58,SI158,Silver Utensil 158,utensil,silver,925,55.451,55.451
59,GO159,Gold Coin 159,coin,gold,24K,17.543,17.543
60,GO160,Gold Ring 160,ring,gold,22K,6.9398,6.9398
61,GO161,Gold Bangle 161,bangle,gold,22K,13.7262,13.7262
62,DI162,Diamond Ring 162,ring,gold,18K,6.1215,4.7149
63,GO163,Gold Chain 163,chain,gold,22K,12.9209,12.9209
64,GO164,Gold Ring 164,ring,gold,22K,3.1873,3.1873
65,GO165,Gold Coin Chain 165,chain,gold,24K,7.9839,7.9839
66,GO166,Gold Coin 166,coin,gold,24K,14.0417,14.0417
67,GO167,Gold Earring 167,earring,gold,22K,5.7496,5.6959
68,GO168,Gold Bangle 168,bangle,gold,22K,19.087,19.087
69,SI169,Silver Payal 169,payal,silver,925,62.0656,62.0656
70,SI170,Silver Coin 170,coin,silver,999,30.9727,30.9727
71,GO171,Gold Coin Chain 171,chain,gold,24K,13.8926,13.8926
72,GO172,Gold Chain 172,chain,gold,22K,10.2814,10.2814
73,GO173,Gold Coin Chain 173,chain,gold,24K,10.0421,10.0421
74,GO174,Gold Coin Chain 174,chain,gold,24K,7.7284,7.7284
75,GO175,Gold Earring 175,earring,gold,22K,5.3308,5.2811
76,GO176,Gold Necklace 176,necklace,gold,22K,36.9336,36.1511
77,DI177,Diamond Ring 177,ring,gold,18K,6.0151,5.0459
78,DI178,Diamond Ring 178,ring,gold,18K,4.6799,3.8207
79,GO179,Gold Chain 179,chain,gold,22K,19.4648,19.4648
80,GO180,Gold Ring 180,ring,gold,22K,3.9658,3.9658
81,GO181,Gold Chain 181,chain,gold,22K,18.3862,18.3862
82,SI182,Silver Payal 182,payal,silver,925,61.9363,61.9363
83,DI183,Diamond Necklace 183,necklace,gold,18K,19.2988,16.4877
84,GO184,Gold Chain 184,chain,gold,22K,13.5748,13.5748
85,SI185,Silver Coin 185,coin,silver,999,26.0333,26.0333
86,GO186,Gold Coin Chain 186,chain,gold,24K,5.9539,5.9539
87,GO187,Gold Earring 187,earring,gold,22K,5.9359,5.8771
88,GO188,Gold Bangle 188,bangle,gold,22K,28.7165,28.7165
89,GO189,Gold Ring 189,ring,gold,22K,3.0342,3.0342
90,GO190,Gold Necklace 190,necklace,gold,22K,26.5072,25.9884
91,GO191,Gold Coin 191,coin,gold,24K,9.0049,9.0049
92,GO192,Gold Chain 192,chain,gold,22K,13.6036,13.6036
93,GO193,Gold Coin Chain 193,chain,gold,24K,10.8246,10.8246
94,SI194,Silver Payal 194,payal,silver,925,58.6439,58.6439
95,SI195,Silver Bangle 195,bangle,silver,925,30.4621,30.4621
96,GO196,Gold Chain 196,chain,gold,22K,14.1124,14.1124
97,GO197,Gold Chain 197,chain,gold,22K,12.0171,12.0171
98,GO198,Gold Ring 198,ring,gold,22K,6.3389,6.3389
99,GO199,Gold Bangle 199,bangle,gold,22K,19.3079,19.3079
100,GO200,Gold Ring 200,ring,gold,22K,3.7986,3.7986
