sale_id,product_id,sale_date,quantity,weight,selling_price,making_charge,discount,cost_basis
1,186,2026-01-16T14:38:00,1,20.4986,142983.42,7118.9,3972.97,143129.76
2,307,2026-01-05T20:50:00,1,20.694,161150.67,12436.14,4962.28,159864.7
3,58,2026-01-11T13:34:00,1,55.451,5572.82,448.59,147.72,5047.45
4,246,2026-01-13T12:35:00,1,84.5028,8507.3,688.26,243.77,7735.34
5,85,2026-01-16T20:37:00,1,26.0333,2530.53,127.14,75.82,2549.01
6,230,2026-01-26T14:34:00,1,3.6613,29159.39,2809.05,958.19,28608.91
7,370,2026-01-08T20:59:00,1,9.1394,65941.29,85.42,2253.28,65899.15
8,379,2026-01-19T18:29:00,1,2.4927,19687.44,1729.38,532.81,19172.38
9,173,2026-01-18T13:25:00,1,17.1759,119501.6,5527.82,3740.25,119653.12
10,38,2026-01-20T15:20:00,1,9.9544,71829.13,91.75,2587.29,72033.02
11,265,2026-01-21T11:56:00,1,20.2554,2081.04,209.04,55.69,1896.91
12,310,2026-01-29T11:42:00,1,30.6255,216820.24,13518.68,7798.14,214159.66
13,80,2026-01-15T18:28:00,1,3.9658,27918.37,1596.24,854.07,27956.4
14,105,2026-01-07T18:50:00,1,3.087,24333.3,2079.39,721.54,23973.36
15,485,2026-01-22T15:45:00,1,12.8272,90331.27,4683.8,3403.2,88122.43
16,486,2026-01-12T18:32:00,1,25.5385,2500.48,140.21,82.66,2478.69
17,215,2026-01-28T14:57:00,1,40.8508,4234.43,453.69,124.35,4318.19
18,294,2026-01-31T14:07:00,1,11.2674,1093.65,51.3,37.84,1099.9
19,458,2026-01-10T20:37:00,1,5.2364,37412.2,2528.72,1070.4,36968.21
20,208,2026-01-21T15:27:00,1,11.0838,86368.02,6408.38,2634.2,85709.59
21,292,2026-01-07T12:35:00,1,17.0016,120237.68,7372.73,3808.93,120375.17
22,203,2026-01-27T11:18:00,1,3.5736,28419.62,2713.89,1033.1,27946.28
23,464,2026-01-22T19:01:00,1,13.6974,106297.11,7602.96,2736.99,105905.51
24,77,2026-01-24T11:05:00,1,5.0459,40100.75,3804.03,1364.29,40007.15
25,74,2026-01-21T20:38:00,1,7.7284,58377.86,2624.41,2137.21,58085.62
26,494,2026-01-14T15:35:00,1,3.4802,24808.12,1604.69,779.38,24694.81
27,437,2026-01-15T15:38:00,1,4.6132,36333.65,3154.78,1035.13,36470.1
28,4,2026-01-19T20:32:00,1,11.895,85813.58,118.91,2999.67,85807.67
29,143,2026-01-14T09:02:00,1,12.2929,92805.62,4269.33,3060.48,92374.57
30,303,2026-01-16T16:44:00,1,14.7384,110912.54,4909.55,3000.02,110410.01
31,44,2026-01-05T13:29:00,1,4.73,33574.28,2226.49,1085.73,33225.74
32,276,2026-01-03T12:30:00,1,20.2773,141866.79,7130.21,4739.61,142702.65
33,335,2026-01-24T19:40:00,1,17.4016,121739.53,6290.01,4158.57,121123.7
34,288,2026-01-26T14:34:00,1,14.593,109769.81,4744.13,3671.46,108569.06
35,415,2026-01-01T16:36:00,1,4.4374,35053.96,3086.84,1127.41,34410.05
36,391,2026-01-11T13:18:00,1,39.395,3834.35,193.86,145.3,3531.14
37,90,2026-01-02T13:46:00,1,25.9884,184411.2,11340.93,6131.63,185674.24
38,418,2026-01-19T18:10:00,1,23.6409,183820.13,13504.94,6186.47,183599.47
39,306,2026-01-02T20:39:00,1,28.0255,197619.02,10982.64,5797.04,196394.05
40,14,2026-01-10T10:54:00,1,37.31,264171.59,15622.44,7191.63,262318.39
41,418,2026-01-09T13:54:00,1,23.6409,184006.96,13481.13,6160.96,183599.47
42,137,2026-01-01T18:47:00,1,19.0534,149245.12,11984.05,4974.18,148541.66
43,81,2026-01-22T13:50:00,1,18.3862,129131.54,6366.51,4641.03,129100.71
44,373,2026-01-08T09:21:00,1,191.6333,19210.44,1528.44,688.35,17774.54
45,47,2026-01-31T11:53:00,1,4.4362,31154.0,1648.52,1169.97,30937.05
46,265,2026-01-25T12:42:00,1,20.2554,2095.36,222.55,74.3,1896.91
47,235,2026-01-24T20:53:00,1,8.0469,57966.53,82.68,1640.39,57915.77
48,183,2026-01-02T10:03:00,1,18.2712,128818.02,7140.6,4543.44,129126.52
49,90,2026-01-15T20:48:00,1,25.9884,183186.38,10694.09,5396.21,185674.24
50,490,2026-01-18T15:30:00,1,5.6869,39890.04,2153.59,1370.18,40314.64
51,140,2026-01-05T13:59:00,1,21.4836,2094.44,108.07,65.27,1924.22
52,425,2026-01-15T17:43:00,1,11.6469,87405.42,3639.05,2590.77,86698.42
53,24,2026-01-04T15:39:00,1,6.8653,48482.32,2975.54,1636.72,48073.34
54,488,2026-01-21T13:51:00,1,4.4681,31978.96,2154.75,955.77,31759.9
55,54,2026-01-09T19:47:00,1,23.9682,187711.54,14824.84,5745.24,187040.66
56,129,2026-01-24T17:21:00,1,58.1956,6108.93,722.35,216.64,5543.18
57,360,2026-01-23T09:43:00,1,6.8958,48711.36,3030.41,1442.34,48223.19
58,5,2026-01-27T17:06:00,1,4.2729,33468.53,2732.58,1032.97,33643.34
59,365,2026-01-15T13:12:00,1,7.5425,54320.06,73.19,1894.86,53540.84
60,20,2026-01-01T18:42:00,1,10.7348,80850.88,3517.17,2128.65,79058.39
61,475,2026-01-27T10:45:00,1,4.7599,33383.45,1796.13,1110.74,33417.72
62,65,2026-01-03T19:48:00,1,7.9839,60311.2,2736.98,1644.25,59602.63
63,478,2026-01-21T10:44:00,1,4.5452,36013.21,3223.68,1367.77,35575.85
64,99,2026-01-09T10:40:00,1,19.3079,135604.93,7035.55,4617.91,135735.36
65,242,2026-01-30T20:57:00,1,137.6048,13901.17,1209.88,492.77,12769.12
66,355,2026-01-25T10:17:00,1,34.4809,3624.22,436.12,104.72,3345.31
67,414,2026-01-02T09:16:00,1,3.8752,30519.61,2649.06,911.25,30827.66
68,434,2026-01-09T12:39:00,1,133.699,13334.43,1000.7,353.21,13167.44
69,208,2026-01-06T17:49:00,1,11.0838,86661.44,6843.78,2338.81,85709.59
70,230,2026-01-07T16:45:00,1,3.6613,29015.31,2621.33,782.25,28608.91
71,138,2026-01-04T20:16:00,1,3.6759,28583.77,2167.06,757.51,28870.75
72,414,2026-01-15T19:40:00,1,3.8752,30322.62,2451.56,969.43,30827.66
73,1,2026-01-30T11:44:00,1,4.1528,32539.54,2638.26,995.65,32569.41
74,175,2026-01-29T20:49:00,1,10.3823,72475.76,3554.83,1858.82,72240.21
75,263,2026-01-16T10:34:00,1,11.0827,86274.68,6564.58,3140.73,85885.6
76,121,2026-01-01T16:07:00,1,5.6102,39689.57,2466.23,1366.22,40191.05
77,303,2026-01-18T19:19:00,1,14.7384,111119.76,5126.64,3355.17,110410.01
78,214,2026-01-02T10:23:00,1,15.0718,108551.55,154.71,4111.17,108686.25
79,285,2026-01-28T16:48:00,1,15.0484,106362.09,6245.54,2832.41,106315.65
80,409,2026-01-10T09:24:00,1,46.9191,4820.26,483.06,134.3,4742.35
81,352,2026-01-07T10:40:00,1,5.1549,36199.77,1979.02,1107.47,36627.39
82,367,2026-01-12T16:47:00,1,9.0261,65200.97,90.02,2407.92,64992.84
83,102,2026-01-05T18:15:00,1,18.5,128481.37,5873.73,3330.84,127765.91
84,262,2026-01-13T13:31:00,1,7.1953,50616.56,2626.57,1646.0,50055.68
85,285,2026-01-31T09:02:00,1,15.0484,106188.63,6100.67,3329.13,106315.65
86,180,2026-01-02T15:07:00,1,21.5984,152611.89,8776.91,5315.31,148955.68
87,114,2026-01-26T19:55:00,1,22.4097,175141.94,13859.55,5656.37,174081.22
88,465,2026-01-18T10:02:00,1,6.5188,45681.12,2424.45,1508.19,45599.09
89,392,2026-01-05T18:02:00,1,61.6451,6437.81,738.1,166.38,6495.48
90,130,2026-01-23T19:03:00,1,2.9689,23340.13,1987.21,601.8,22961.63
91,481,2026-01-10T18:10:00,1,9.6978,69814.77,103.2,1874.2,68391.88
92,445,2026-01-19T10:31:00,1,56.0557,5786.83,614.01,208.69,5771.96
93,317,2026-01-26T12:27:00,1,14.7122,114915.02,9031.46,3034.65,114345.81
94,179,2026-01-26T15:20:00,1,4.8051,38171.79,3589.53,1337.75,37811.65
95,65,2026-01-22T12:48:00,1,7.9839,60120.21,2593.66,1644.76,59602.63
96,26,2026-01-19T13:09:00,1,42.9332,302976.57,16854.27,8001.38,301652.08
97,403,2026-01-14T11:28:00,1,49.0885,4985.73,458.3,151.24,4680.14
98,130,2026-01-30T19:39:00,1,2.9689,23338.31,1961.43,637.3,22961.63
99,199,2026-01-25T10:00:00,1,19.2605,135009.54,6818.01,4976.35,135549.94
100,4,2026-01-06T18:56:00,1,11.895,85788.43,129.09,2972.25,85659.68
101,152,2026-01-14T16:44:00,1,14.682,103226.43,5337.57,3689.38,103061.96
102,68,2026-01-07T16:26:00,1,19.087,133444.18,6735.32,3878.98,131507.3
103,128,2026-01-31T18:11:00,1,11.2314,80844.84,105.0,2785.38,79829.9
104,382,2026-01-16T13:22:00,1,52.9414,5428.83,541.28,145.09,5290.2
105,223,2026-01-01T17:06:00,1,5.2555,41582.04,3721.31,1166.64,42046.11
106,329,2026-01-12T17:14:00,1,18.6736,146721.42,12016.98,5609.28,145833.14
107,247,2026-01-25T09:12:00,1,21.3958,150739.43,8336.05,4260.47,150400.66
108,61,2026-01-26T16:31:00,1,13.7262,96444.54,4850.02,3510.62,97468.86
109,95,2026-01-06T19:23:00,1,30.4621,3130.6,314.99,81.87,3083.7
110,152,2026-01-07T16:02:00,1,14.682,102537.87,5071.56,3063.73,103061.96
111,57,2026-01-24T11:50:00,1,19.0088,136909.26,173.07,4446.57,135836.68
112,15,2026-01-16T12:46:00,1,47.6096,4872.84,477.52,129.16,4864.61
113,237,2026-01-19T20:43:00,1,8.7772,61615.45,3121.03,1907.86,60919.31
114,477,2026-01-11T12:06:00,1,13.4506,94612.66,4835.29,2555.46,95448.9
115,127,2026-01-24T12:04:00,1,3.0645,24151.55,2107.65,680.09,24174.65
116,253,2026-01-19T11:13:00,1,12.2356,92051.62,3903.18,3405.75,91721.49
117,493,2026-01-20T11:29:00,1,3.8343,26995.84,1519.91,824.93,26508.07
118,383,2026-01-07T12:21:00,1,62.5518,6557.11,770.44,249.74,6020.38
119,69,2026-01-02T11:07:00,1,62.0656,6512.63,773.42,171.7,6460.93
120,454,2026-01-15T14:14:00,1,40.6398,4151.65,403.03,115.38,3882.48
121,471,2026-01-10T19:39:00,1,4.1632,29646.38,1912.27,1058.56,29492.86
122,481,2026-01-06T12:05:00,1,9.6978,69935.16,98.49,2285.15,68391.88
123,219,2026-01-28T12:37:00,1,78.5036,7896.27,630.76,289.29,7781.34
124,254,2026-01-27T15:47:00,1,49.5838,5074.68,492.15,130.85,5015.91
125,464,2026-01-08T12:57:00,1,13.6974,106503.44,7803.95,3318.48,105905.51
126,492,2026-01-19T09:26:00,1,5.5826,44475.09,4256.59,1658.75,43858.87
127,25,2026-01-02T17:02:00,1,12.8433,100832.53,8463.13,3527.98,100203.32
128,226,2026-01-17T20:52:00,1,13.4675,94197.52,4614.0,3387.75,94757.39
129,54,2026-01-15T09:44:00,1,23.9682,186750.49,14367.36,4979.44,187040.66
130,389,2026-01-14T13:15:00,1,19.9391,142067.37,9128.01,3878.26,138409.52
131,344,2026-01-03T11:45:00,1,14.46,100653.38,4571.02,3438.69,99419.04
132,245,2026-01-28T16:29:00,1,39.8096,4168.82,484.44,137.87,3779.27
133,412,2026-01-05T14:40:00,1,3.3552,23859.23,1622.84,734.59,23617.3
134,247,2026-01-23T10:24:00,1,21.3958,150082.95,8347.33,5494.97,150400.66
135,475,2026-01-23T15:48:00,1,4.7599,33372.1,1840.33,868.3,33417.72
136,144,2026-01-23T12:50:00,1,7.8189,55202.59,3406.6,1796.47,55403.35
137,365,2026-01-03T09:32:00,1,7.5425,54468.39,77.24,1628.44,53540.84
138,483,2026-01-22T15:23:00,1,9.9881,70091.48,3400.74,1840.6,70426.37
139,248,2026-01-20T19:35:00,1,12.1774,84780.04,3870.72,2568.02,84291.64
140,375,2026-01-03T11:21:00,1,4.191,29756.81,1908.87,1056.42,29466.95
141,128,2026-01-18T18:55:00,1,11.2314,80875.7,103.63,2565.76,79829.9
142,374,2026-01-07T14:22:00,1,158.1349,15958.2,1329.14,563.95,15997.31
143,477,2026-01-09T09:04:00,1,13.4506,94681.07,5114.87,2936.39,95448.9
144,197,2026-01-12T10:30:00,1,3.3083,26158.62,2293.77,837.56,26110.51
145,378,2026-01-18T13:28:00,1,22.3074,156110.79,8086.02,5061.2,157085.33
146,330,2026-01-12T10:12:00,1,4.6319,32818.92,1963.89,1237.3,32722.75
147,474,2026-01-29T11:18:00,1,2.6939,21124.55,1736.28,562.47,21209.1
148,42,2026-01-04T11:31:00,1,5.2378,41061.88,3420.64,1110.06,41098.97
149,81,2026-01-28T09:18:00,1,18.3862,128377.38,6054.54,4850.99,129100.71
150,222,2026-01-22T14:26:00,1,12.5433,94425.61,4047.12,2576.87,93951.6
151,237,2026-01-24T10:01:00,1,8.7772,61392.54,3160.91,1800.73,60919.31
152,464,2026-01-26T19:21:00,1,13.6974,106358.52,7778.47,4012.62,105905.51
153,219,2026-01-19T14:31:00,1,78.5036,7852.59,608.28,265.96,7781.34
154,316,2026-01-22T16:29:00,1,4.8799,38711.66,3550.42,1408.19,37802.56
155,162,2026-01-19T11:50:00,1,11.2042,78301.63,3632.81,2795.65,78313.61
156,139,2026-01-08T09:09:00,1,9.7207,73145.37,3100.82,2781.37,72596.75
157,187,2026-01-10T11:45:00,1,12.717,98977.7,7562.94,2744.6,97984.38
158,286,2026-01-10T20:44:00,1,25.0601,176800.05,9856.43,4922.93,177158.65
159,481,2026-01-22T10:02:00,1,9.6978,69978.44,102.69,1935.89,68391.88
160,169,2026-01-19T11:13:00,1,4.4869,35230.98,2906.19,1019.35,35620.32
161,300,2026-01-23T14:09:00,1,18.9634,131641.8,6019.52,3904.09,131950.52
162,197,2026-01-15T13:07:00,1,3.3083,26128.09,2334.27,723.26,26110.51
163,489,2026-01-01T11:29:00,1,9.8667,74176.98,3097.08,2373.11,74116.5
164,493,2026-01-11T17:32:00,1,3.8343,27020.64,1428.22,1027.27,26508.07
165,176,2026-01-21T13:48:00,1,79.6742,8358.87,995.38,264.69,8292.88
166,306,2026-01-22T16:21:00,1,28.0255,197024.82,9898.0,6469.3,196973.59
167,367,2026-01-04T11:43:00,1,9.0261,64960.15,94.44,2411.47,64992.84
168,295,2026-01-04T12:28:00,1,14.8897,103708.03,5011.36,3188.07,104029.99
169,189,2026-01-03T12:37:00,1,10.9377,76689.73,4011.99,2560.24,76279.2
170,281,2026-01-08T12:01:00,1,13.5853,95825.64,5452.83,3394.03,94266.98
171,46,2026-01-18T10:32:00,1,3.1675,24982.26,2202.77,856.05,24850.85
172,208,2026-01-07T17:03:00,1,11.0838,86539.72,6637.6,2883.56,85709.59
173,483,2026-01-22T15:23:00,1,9.9881,70089.44,3398.7,1927.02,70426.37
174,204,2026-01-12T13:28:00,1,23.1628,2349.74,209.03,70.53,2149.33
175,465,2026-01-18T16:47:00,1,6.5188,45649.12,2392.45,1593.91,45599.09
176,221,2026-01-26T20:57:00,1,12.4688,93681.96,3944.13,2594.66,93644.97
177,226,2026-01-24T18:38:00,1,13.4675,94436.4,5087.35,2586.28,94757.39
178,48,2026-01-05T17:21:00,1,12.8521,89411.86,4235.34,2832.12,89666.74
179,36,2026-01-30T10:00:00,1,3.5236,28064.36,2693.49,990.06,27680.59
180,218,2026-01-21T17:29:00,1,41.5219,296039.96,18884.6,9149.35,292651.2
181,378,2026-01-19T11:53:00,1,22.3074,156870.7,8206.16,4290.83,157085.33
182,202,2026-01-10T13:53:00,1,4.3318,34203.6,3064.93,894.1,34338.44
183,312,2026-01-10T12:01:00,1,22.4573,157455.25,7850.78,5521.98,159340.48
184,422,2026-01-01T19:53:00,1,43.7528,4446.51,407.25,130.91,4400.94
185,338,2026-01-16T13:26:00,1,10.8588,81313.38,3213.63,2774.71,81297.73
186,96,2026-01-16T09:07:00,1,14.1124,98878.05,5341.2,3347.34,99348.29
187,407,2026-01-09T18:47:00,1,9.1757,64307.1,3207.03,2445.21,63908.48
188,192,2026-01-19T13:40:00,1,4.2888,30504.54,1922.43,951.18,30519.56
189,366,2026-01-16T14:32:00,1,20.7568,2029.9,113.63,73.23,2026.31
190,391,2026-01-19T18:03:00,1,39.395,3813.34,177.97,110.29,3531.14
191,78,2026-01-11T14:10:00,1,3.8207,30196.5,2653.65,1040.99,29924.02
192,30,2026-01-09T14:03:00,1,7.7113,58022.02,2399.1,1957.89,57546.22
193,155,2026-01-10T17:12:00,1,43.3929,4229.49,218.25,158.96,3892.97
194,409,2026-01-21T11:34:00,1,46.9191,4775.73,439.47,128.04,4742.35
195,172,2026-01-28T13:17:00,1,27.5585,2683.27,132.73,97.71,2681.44
196,365,2026-01-23T18:22:00,1,7.5425,54325.44,78.27,1457.37,53540.84
197,439,2026-01-05T14:49:00,1,5.9325,41726.84,2409.55,1344.96,41926.14
198,260,2026-01-14T10:13:00,1,24.8355,173999.79,8414.81,6482.9,172993.89
199,83,2026-01-17T17:39:00,1,16.4877,128116.75,9340.84,3588.77,128344.3
200,368,2026-01-27T20:35:00,1,6.4593,48717.27,2254.04,1774.76,48411.74
201,374,2026-01-25T10:07:00,1,158.1349,15962.79,1341.64,493.92,15997.31
202,437,2026-01-05T13:44:00,1,4.6132,36654.82,3502.7,1163.34,36470.1
203,192,2026-01-05T18:33:00,1,4.2888,30476.09,2052.33,1127.26,30788.16
204,406,2026-01-11T20:52:00,1,17.4692,126096.08,163.24,3719.83,124975.1
205,64,2026-01-08T20:14:00,1,3.1873,22382.97,1180.25,771.91,22032.51
206,164,2026-01-05T15:44:00,1,3.6678,28603.85,2245.72,1091.47,28940.57
207,406,2026-01-26T16:48:00,1,17.4692,125886.79,161.13,3253.01,124975.1
208,230,2026-01-02T19:32:00,1,3.6613,28739.44,2407.26,747.79,28608.91
209,316,2026-01-02T09:04:00,1,4.8799,38491.2,3394.81,1433.0,37802.56
210,161,2026-01-22T10:58:00,1,28.3219,199836.01,10730.12,5362.65,199490.24
211,321,2026-01-07T19:22:00,1,3.0001,23611.68,1984.23,664.91,23745.41
212,15,2026-01-03T13:37:00,1,47.6096,4840.05,442.35,170.13,4864.61
213,185,2026-01-12T20:39:00,1,138.7501,13857.92,1034.64,443.57,13788.13
214,129,2026-01-17T18:48:00,1,58.1956,6082.52,708.16,163.43,5543.18
215,8,2026-01-17T13:10:00,1,4.5632,35886.32,3013.44,1006.68,36048.01
216,479,2026-01-25T10:59:00,1,24.1015,188360.34,14568.28,7169.34,187108.32
217,115,2026-01-30T14:44:00,1,15.2051,109633.01,152.18,3799.8,108495.55
218,314,2026-01-06T11:53:00,1,3.5003,27627.32,2420.64,1045.95,27744.15
219,188,2026-01-13T15:07:00,1,32.234,3141.33,158.72,101.1,3099.91
220,405,2026-01-11T11:31:00,1,69.8843,7233.49,775.48,195.39,7338.21
221,406,2026-01-12T09:05:00,1,17.4692,126198.19,181.84,4130.63,124975.1
222,174,2026-01-16T18:47:00,1,36.7959,258149.39,14266.53,7545.77,261235.38
223,166,2026-01-22T17:26:00,1,42.0913,300406.41,19361.96,9397.5,298034.29
224,155,2026-01-28T16:43:00,1,43.3929,4229.85,213.84,154.67,3892.97
225,195,2026-01-06T19:06:00,1,5.6896,39845.54,2054.08,1363.88,40165.21
226,209,2026-01-15T10:09:00,1,18.2845,127787.93,6428.58,4377.94,127603.97
227,209,2026-01-13T20:59:00,1,18.2845,128600.06,6649.21,4901.32,127603.97
228,474,2026-01-06T14:12:00,1,2.6939,20998.15,1598.59,799.67,21209.1
229,317,2026-01-28T15:46:00,1,14.7122,115520.92,9693.56,3138.86,114345.81
230,267,2026-01-09T18:17:00,1,11.3594,80186.3,4545.19,2838.95,80167.77
231,403,2026-01-26T14:30:00,1,49.0885,5055.23,520.43,190.45,4680.14
232,355,2026-01-20T17:17:00,1,34.4809,3635.68,451.02,139.03,3345.31
233,79,2026-01-25T16:31:00,1,19.4648,136302.16,6750.87,3702.52,135290.39
234,124,2026-01-21T20:03:00,1,16.7443,131730.56,10935.51,3422.42,128948.28
235,443,2026-01-03T11:24:00,1,15.7014,122644.68,9417.33,3181.7,122611.63
236,322,2026-01-22T18:06:00,1,36.3621,257534.0,14743.53,7590.87,257975.67
237,405,2026-01-03T16:50:00,1,69.8843,7320.84,865.63,236.14,7338.21
238,248,2026-01-07T17:16:00,1,12.1774,84925.67,4086.12,2715.34,84291.64
239,289,2026-01-11T09:48:00,1,4.1901,33320.42,3114.62,1083.54,33239.92
240,19,2026-01-14T16:20:00,1,12.8924,90812.5,4855.39,2463.28,89698.17
241,454,2026-01-13T11:35:00,1,40.6398,4162.13,401.73,108.47,3882.48
242,350,2026-01-28T11:31:00,1,40.4539,3957.58,213.57,146.13,3943.14
243,230,2026-01-05T10:36:00,1,3.6613,28778.2,2466.78,880.04,28608.91
244,359,2026-01-16T18:30:00,1,1.683,13233.61,1128.97,454.88,13114.37
245,255,2026-01-18T15:16:00,1,5.3041,37468.31,2272.0,1202.19,37024.42
246,265,2026-01-19T14:49:00,1,20.2554,2090.8,221.63,70.04,1896.91
